Timestamp,SR20 Global Horizontal Irradiance.IRRADIANCE_GHI, SPN1 - Diffuse Irradiance.IRRADIANCE_DIF ,SPN1 - Diffuse Irradiance.IRRADIANCE_DNI,SPN1 - Diffuse Irradiance.IRRADIANCE_GHI
2020-08-01T14:30:00,985.5398743,138.8184212,,301.2021332
2020-08-01T14:40:00,976.0686462,144.6514526,,308.4878586
2020-08-01T14:50:00,852.0365723,146.459243,,310.4766144
2020-08-01T15:00:00,919.8666168,149.6751198,,315.0582779
2020-08-01T15:10:00,965.3001465,146.1553444,,301.3724243
2020-08-01T15:20:00,453.8244583,138.6369301,,285.2323975
2020-08-01T15:30:00,612.0863899,138.2112717,,289.2033173
2020-08-01T15:40:00,697.8928093,137.6135559,,290.7271072
2020-08-01T15:50:00,698.75905,153.0869804,,320.5125732
2020-08-01T16:00:00,731.3780533,146.3314384,,308.786557
2020-08-01T16:10:00,258.477692,141.7654312,,286.1405807
2020-08-01T16:20:00,152.6575085,123.4102753,,253.9138657
2020-08-01T16:30:00,335.9221748,122.3809994,,277.5320694
2020-08-01T16:40:00,284.6760719,111.6135387,,272.1194443
2020-08-01T16:50:00,176.5923706,99.7696579,,230.5116211
2020-08-01T17:00:00,151.4042122,87.32078056,,175.0898247
2020-08-01T17:10:00,77.85369587,74.48957024,,169.9570541
2020-08-01T17:20:00,51.09230328,65.15454216,,167.2687057
2020-08-01T17:30:00,131.6909367,64.68290405,,154.9795494
2020-08-01T17:40:00,162.97435,58.15147896,,152.5634583
2020-08-01T17:50:00,191.9006714,51.30642338,,166.0275658
2020-08-01T18:00:00,207.1822243,46.10903111,,172.7411407
2020-08-01T18:10:00,115.8832718,45.96991844,,171.8308311
2020-08-01T18:20:00,115.2367687,47.77111988,,159.7750671
2020-08-01T18:30:00,209.0895802,44.90486107,,166.5452164
2020-08-01T18:40:00,215.9280556,45.75868492,,171.6508553
2020-08-01T18:50:00,154.9516418,45.07649879,,156.7512566
2020-08-01T19:00:00,116.9049873,44.50911598,,153.9606438
2020-08-01T19:10:00,85.2319725,43.52536488,,152.4514793
2020-08-01T19:20:00,67.4176012,43.28624382,,144.6936447
2020-08-01T19:30:00,53.82952232,45.77256546,,141.8975716
2020-08-01T19:40:00,42.69088802,44.60051861,,136.8466499
2020-08-01T19:50:00,33.11224356,35.46031675,,136.0590302
2020-08-01T20:00:00,23.50745621,35.16148977,,139.756897
2020-08-01T20:10:00,15.67945499,41.73850727,,136.5693314
2020-08-01T20:20:00,9.102283096,49.00763016,,138.4411972
2020-08-01T20:30:00,6.635267794,60.72895699,,143.8674103
2020-08-01T20:40:00,0.105151344,86.45002098,,146.9085266
2020-08-01T20:50:00,-0.554521233,111.023505,,149.8427994
2020-08-01T21:00:00,-0.73200936,124.6682995,,148.9412231
2020-08-01T21:10:00,-0.659240106,127.5876591,,143.6098389
2020-08-01T21:20:00,-0.701840118,136.5699852,,143.0773521
2020-08-01T21:30:00,-0.762425587,146.4731453,,137.1193604
2020-08-01T21:40:00,-1.035140947,139.1843193,,136.2952057
2020-08-01T21:50:00,-0.928850642,133.4096954,,131.5391487
2020-08-01T22:00:00,-0.597581667,127.78088,,129.1994766
2020-08-01T22:10:00,-0.673189896,133.6298615,,127.9676506
2020-08-01T22:20:00,-0.640750372,143.8499939,,121.3075748
2020-08-01T22:30:00,-0.713591611,140.2166946,,121.0581688
2020-08-01T22:40:00,0.065323219,172.1460688,,134.1277091
2020-08-01T22:50:00,NaN,180.7252717,,137.9873584
2020-08-01T23:00:00,NaN,180.6979127,,135.4051583
2020-08-01T23:10:00,NaN,180.6705538,,132.8229582
2020-08-01T23:20:00,NaN,180.6431948,,130.2407581
2020-08-01T23:30:00,NaN,180.6158358,,127.658558
2020-08-01T23:40:00,NaN,180.5884769,,125.0763579
2020-08-01T23:50:00,NaN,180.5611179,,122.4941578
2020-08-02T00:00:00,NaN,180.533759,,119.9119577
2020-08-02T00:10:00,NaN,180.5064,,117.3297576
2020-08-02T00:20:00,NaN,180.4790411,,114.7475575
2020-08-02T00:30:00,NaN,180.4516821,,112.1653575
2020-08-02T00:40:00,NaN,180.4243232,,109.5831574
2020-08-02T00:50:00,NaN,180.3969642,,107.0009573
2020-08-02T01:00:00,NaN,180.3696052,,104.4187572
2020-08-02T01:10:00,NaN,180.3422463,,101.8365571
2020-08-02T01:20:00,NaN,180.3148873,,99.25435697
2020-08-02T01:30:00,NaN,180.2875284,,96.67215687
2020-08-02T01:40:00,NaN,180.2601694,,94.08995677
2020-08-02T01:50:00,NaN,180.2328105,,91.50775668
2020-08-02T02:00:00,NaN,180.2054515,,88.92555658
2020-08-02T02:10:00,NaN,180.1780926,,86.34335648
2020-08-02T02:20:00,NaN,180.1507336,,83.76115638
2020-08-02T02:30:00,NaN,180.1233746,,81.17895629
2020-08-02T02:40:00,NaN,180.0960157,,78.59675619
2020-08-02T02:50:00,NaN,180.0686567,,76.01455609
2020-08-02T03:00:00,NaN,180.0412978,,73.432356
2020-08-02T03:10:00,NaN,180.0139388,,70.8501559
2020-08-02T03:20:00,NaN,179.9865799,,68.2679558
2020-08-02T03:30:00,NaN,179.9592209,,65.68575571
2020-08-02T03:40:00,NaN,179.931862,,63.10355561
2020-08-02T03:50:00,NaN,179.904503,,60.52135551
2020-08-02T04:00:00,NaN,179.877144,,57.93915542
2020-08-02T04:10:00,NaN,179.8497851,,55.35695532
2020-08-02T04:20:00,NaN,179.8224261,,52.77475522
2020-08-02T04:30:00,NaN,179.7950672,,50.19255513
2020-08-02T04:40:00,NaN,179.7677082,,47.61035503
2020-08-02T04:50:00,NaN,179.7403493,,45.02815493
2020-08-02T05:00:00,NaN,179.7129903,,42.44595483
2020-08-02T05:10:00,NaN,179.6856314,,39.86375474
2020-08-02T05:20:00,NaN,179.6582724,,37.28155464
2020-08-02T05:30:00,NaN,179.6309134,,34.69935454
2020-08-02T05:40:00,NaN,179.6035545,,32.11715445
2020-08-02T05:50:00,NaN,179.5761955,,29.53495435
2020-08-02T06:00:00,NaN,179.5488366,,26.95275425
2020-08-02T06:10:00,NaN,179.5214776,,24.37055416
2020-08-02T06:20:00,NaN,179.4941187,,21.78835406
2020-08-02T06:30:00,NaN,179.4667597,,19.20615396
2020-08-02T06:40:00,NaN,179.4394008,,16.62395387
2020-08-02T06:50:00,NaN,179.4120418,,14.04175377
2020-08-02T07:00:00,NaN,179.3846828,,11.45955367
2020-08-02T07:10:00,NaN,179.3573239,,8.877353575
2020-08-02T07:20:00,NaN,179.3299649,,6.295153478
2020-08-02T07:30:00,NaN,179.302606,,3.712953381
2020-08-02T07:40:00,NaN,179.275247,,1.130753285
2020-08-02T07:50:00,NaN,179.2478881,,-1.451446812
2020-08-02T08:00:00,NaN,179.2205291,,-4.033646909
2020-08-02T08:10:00,231.3475306,155.9670415,,17.57834868
2020-08-02T08:20:00,245.8116394,58.74023418,,137.7687748
2020-08-02T08:30:00,260.9715947,50.97869388,,141.9346876
2020-08-02T08:40:00,NaN,66.6079275,,140.4844721
2020-08-02T08:50:00,NaN,90.15737325,,132.0975897
2020-08-02T09:00:00,NaN,113.706819,,123.7107072
2020-08-02T09:10:00,NaN,137.2562648,,115.3238248
2020-08-02T09:20:00,NaN,160.8057105,,106.9369424
2020-08-02T09:30:00,NaN,184.3551563,,98.55005993
2020-08-02T09:40:00,552.8135928,168.5261996,,123.2653575
2020-08-02T09:50:00,530.7920166,98.95616531,,185.4805305
2020-08-02T10:00:00,546.0914734,81.92729645,,189.4461143
2020-08-02T10:10:00,567.6445465,81.8649086,,184.8512009
2020-08-02T10:20:00,666.362323,83.79994926,,200.4319756
2020-08-02T10:30:00,699.8564453,83.99756126,,196.5996346
2020-08-02T10:40:00,725.0811462,83.75124245,,199.8620499
2020-08-02T10:50:00,750.9292145,90.70221329,,200.6928513
2020-08-02T11:00:00,775.4173492,91.00687752,,196.0577682
2020-08-02T11:10:00,803.6039978,89.82270584,,196.2632446
2020-08-02T11:20:00,825.9395203,98.07941628,,212.2753288
2020-08-02T11:30:00,821.3404968,105.1680351,,223.2700951
2020-08-02T11:40:00,845.8861816,112.5217754,,231.3484894
2020-08-02T11:50:00,685.3166687,108.5997353,,216.8250641
2020-08-02T12:00:00,834.7041107,109.8511257,,218.2476433
2020-08-02T12:10:00,894.3953766,110.5984558,,238.1445091
2020-08-02T12:20:00,988.1528137,117.6646698,,248.8194527
2020-08-02T12:30:00,859.546637,112.771244,,230.6782211
2020-08-02T12:40:00,995.3769409,120.7105843,,255.4247368
2020-08-02T12:50:00,939.1638733,117.9597301,,239.1629486
2020-08-02T13:00:00,984.513797,120.6992092,,252.3887184
2020-08-02T13:10:00,1000.374478,118.377599,,249.7373466
2020-08-02T13:20:00,1019.573856,121.2466991,,254.6714386
2020-08-02T13:30:00,765.8735229,118.7509155,,248.1601501
2020-08-02T13:40:00,1014.004865,127.3070812,,269.4485397
2020-08-02T13:50:00,815.8388458,118.4610298,,240.4416222
2020-08-02T14:00:00,751.6690063,120.9309589,,242.4488251
2020-08-02T14:10:00,1002.120468,125.0500454,,264.1637642
2020-08-02T14:20:00,950.992746,128.1102089,,267.967305
2020-08-02T14:30:00,965.3842316,134.8552452,,283.0982849
2020-08-02T14:40:00,894.0059998,130.0017365,,271.3262131
2020-08-02T14:50:00,922.1446777,132.1316856,,275.4172302
2020-08-02T15:00:00,917.1902618,135.3305702,,277.4448059
2020-08-02T15:10:00,901.2803467,141.5975304,,290.7084183
2020-08-02T15:20:00,876.3794312,142.714315,,287.53181
2020-08-02T15:30:00,853.3142731,140.4293884,,284.3722733
2020-08-02T15:40:00,836.413855,142.7455254,,287.9248154
2020-08-02T15:50:00,817.789032,144.1676826,,291.6798325
2020-08-02T16:00:00,802.64375,142.0543228,,287.790802
2020-08-02T16:10:00,773.9596497,141.1391975,,288.910556
